,name,path,variable,size,seed,lr,iter,constrain,dist_weight,ale_l2,ale_l1,ale_max_diff,ale_rho,pd_l2,pd_l1,pd_max_diff,pd_rho
0,heart,results_final/heart/age_512_0_gradient_0.1_50_0.01/,age,512,0,0.1,50,False,0.01,0.025600322304054495,0.025600322304054495,0.06729247815173212,-0.8595578673602081,0.038559366,0.038559366,0.07818818,-0.9948051948051948
0,heart,results_final/heart/age_256_0_gradient_0.1_50_0.01/,age,256,0,0.1,50,False,0.01,0.02015850503764252,0.02015850503764252,0.04337946720710543,-0.8426527958387514,0.041103397,0.041103397,0.1043787,-0.8857142857142857
0,heart,results_final/heart/age_128_0_gradient_0.1_50_0.01/,age,128,0,0.1,50,False,0.01,0.01846828471732955,0.01846828471732955,0.0444416087965213,-0.4343302990897268,0.025584808,0.025584808,0.05234927,-0.9844155844155844
0,heart,results_final/heart/age_64_0_gradient_0.1_50_0.01/,age,64,0,0.1,50,False,0.01,0.011359351330600438,0.011359351330600438,0.023310551377064205,-0.30429128738621586,0.011301279,0.011301279,0.028791845,-0.9766233766233766
0,heart,results_final/heart/age_64_0_gradient_0.1_50_0.01/,age,64,0,0.1,50,False,0.01,0.011359351330600438,0.011359351330600438,0.023310551377064205,-0.30429128738621586,0.011301279,0.011301279,0.028791845,-0.9766233766233766
0,heart,results_final/heart/age_32_0_gradient_0.1_50_0.01/,age,32,0,0.1,50,False,0.01,0.024567071664289116,0.024567071664289116,0.08735840471434722,-0.8907672301690506,0.033288322,0.033288322,0.08487797,-0.9428571428571428
0,heart,results_final/heart/age_16_0_gradient_0.1_50_0.01/,age,16,0,0.1,50,False,0.01,0.05198501491954226,0.05198501491954226,0.0835854594176415,-0.964889466840052,0.051851477,0.051851477,0.0947755,-0.9987012987012988
0,heart,results_final/heart/age_8_0_gradient_0.1_50_0.01/,age,8,0,0.1,50,False,0.01,0.02830172166843915,0.02830172166843915,0.07437124625646555,-0.9544863459037711,0.023905281,0.023905281,0.04935795,-0.9636363636363635
0,heart,results_final/heart/age_4_0_gradient_0.1_50_0.01/,age,4,0,0.1,50,False,0.01,0.02810071512715812,0.02810071512715812,0.05538859144151566,0.6527958387516255,0.03216586,0.03216586,0.058584094,0.9883116883116884
0,heart,results_final/heart/age_4_0_gradient_0.1_50_0.01/,age,4,0,0.1,50,False,0.01,0.02810071512715812,0.02810071512715812,0.05538859144151566,0.6527958387516255,0.03216586,0.03216586,0.058584094,0.9883116883116884
0,heart,results_final/heart/age_8_0_gradient_0.1_50_0.01/,age,8,0,0.1,50,False,0.01,0.02830172166843915,0.02830172166843915,0.07437124625646555,-0.9544863459037711,0.023905281,0.023905281,0.04935795,-0.9636363636363635
0,heart,results_final/heart/age_16_0_gradient_0.1_50_0.01/,age,16,0,0.1,50,False,0.01,0.05198501491954226,0.05198501491954226,0.0835854594176415,-0.964889466840052,0.051851477,0.051851477,0.0947755,-0.9987012987012988
0,heart,results_final/heart/age_32_0_gradient_0.1_50_0.01/,age,32,0,0.1,50,False,0.01,0.024567071664289116,0.024567071664289116,0.08735840471434722,-0.8907672301690506,0.033288322,0.033288322,0.08487797,-0.9428571428571428
0,heart,results_final/heart/age_64_0_gradient_0.1_50_0.01/,age,64,0,0.1,50,False,0.01,0.011359351330600438,0.011359351330600438,0.023310551377064205,-0.30429128738621586,0.011301279,0.011301279,0.028791845,-0.9766233766233766
0,heart,results_final/heart/age_128_0_gradient_0.1_50_0.01/,age,128,0,0.1,50,False,0.01,0.01846828471732955,0.01846828471732955,0.0444416087965213,-0.4343302990897268,0.025584808,0.025584808,0.05234927,-0.9844155844155844
0,heart,results_final/heart/age_256_0_gradient_0.1_50_0.01/,age,256,0,0.1,50,False,0.01,0.02015850503764252,0.02015850503764252,0.04337946720710543,-0.8426527958387514,0.041103397,0.041103397,0.1043787,-0.8857142857142857
0,heart,results_final/heart/age_512_0_gradient_0.1_50_0.01/,age,512,0,0.1,50,False,0.01,0.025600322304054495,0.025600322304054495,0.06729247815173212,-0.8595578673602081,0.038559366,0.038559366,0.07818818,-0.9948051948051948
0,heart,results_final/heart/age_4_1_gradient_0.1_50_0.01/,age,4,1,0.1,50,False,0.01,0.020717511534712647,0.020717511534712647,0.038559123716916666,-0.8972691807542261,0.02436684,0.02436684,0.043976843,-0.9870129870129869
0,heart,results_final/heart/age_8_1_gradient_0.1_50_0.01/,age,8,1,0.1,50,False,0.01,0.04845256848421631,0.04845256848421631,0.11176956075118558,-0.9960988296488947,0.04434886,0.04434886,0.0955964,-0.974025974025974
0,heart,results_final/heart/age_16_1_gradient_0.1_50_0.01/,age,16,1,0.1,50,False,0.01,0.016222320673708317,0.016222320673708317,0.050810865933645165,-0.6202860858257476,0.019323805,0.019323805,0.04494536,-0.6987012987012987
0,heart,results_final/heart/age_32_1_gradient_0.1_50_0.01/,age,32,1,0.1,50,False,0.01,0.01353527688794653,0.01353527688794653,0.03758111625016089,-0.8426527958387514,0.013212402,0.013212402,0.027469635,-0.9103896103896105
0,heart,results_final/heart/age_64_1_gradient_0.1_50_0.01/,age,64,1,0.1,50,False,0.01,0.019822746738359195,0.019822746738359195,0.05551658009726989,-0.39401820546163846,0.028067736,0.028067736,0.058120012,-0.9883116883116884
0,heart,results_final/heart/age_128_1_gradient_0.1_50_0.01/,age,128,1,0.1,50,False,0.01,0.012229755017823604,0.012229755017823604,0.02534493043164846,-0.035110533159947985,0.016483188,0.016483188,0.03026408,-0.9844155844155844
0,heart,results_final/heart/age_256_1_gradient_0.1_50_0.01/,age,256,1,0.1,50,False,0.01,0.04558470562642329,0.04558470562642329,0.15850322142204673,-0.9375812743823148,0.04322401,0.04322401,0.09529033,-0.9948051948051948
